t,v
0,0
1e-07,1
2e-07,0.999
3e-07,-1.002
4e-07,-1.00101
5e-07,-1.00001
6e-07,-0.999012
7e-07,-0.998009
8e-07,-0.997003
9e-07,-0.995994
1e-06,-0.994982
1.1e-06,-0.993967
1.2e-06,-0.992949
1.3e-06,-0.991928
1.4e-06,-0.990904
1.5e-06,-0.989878
1.6e-06,-0.988848
1.7e-06,-0.987815
1.8e-06,-0.98678
1.9e-06,-0.985741
2e-06,-0.9847
2.1e-06,-0.983656
2.2e-06,-0.982609
2.3e-06,-0.981559
2.4e-06,-0.980506
2.5e-06,-0.97945
2.6e-06,-0.978392
2.7e-06,-0.97733
2.8e-06,-0.976266
2.9e-06,-0.975199
3e-06,-0.974129
3.1e-06,-0.973056
3.2e-06,-0.971981
3.3e-06,-0.970903
3.4e-06,-0.969822
3.5e-06,-0.968738
3.6e-06,-0.967651
3.7e-06,-0.966562
3.8e-06,-0.96547
3.9e-06,-0.964375
4e-06,-0.963277
4.1e-06,-0.962177
4.2e-06,-0.961074
4.3e-06,-0.959968
4.4e-06,-0.958859
4.5e-06,-0.957748
4.6e-06,-0.956634
4.7e-06,-0.955518
4.8e-06,-0.954398
4.9e-06,-0.953276
5e-06,-0.952152
5.1e-06,-0.951024
5.2e-06,-0.949894
5.3e-06,-0.948762
5.4e-06,-0.947627
5.5e-06,-0.946489
5.6e-06,-0.945349
5.7e-06,-0.944205
5.8e-06,-0.94306
5.9e-06,-0.941912
6e-06,-0.940761
6.1e-06,-0.939607
6.2e-06,-0.938452
6.3e-06,-0.937293
6.4e-06,-0.936132
6.5e-06,-0.934968
6.6e-06,-0.933802
6.7e-06,-0.932634
6.8e-06,-0.931462
6.9e-06,-0.930289
7e-06,-0.929113
7.1e-06,-0.927934
7.2e-06,-0.926753
7.3e-06,-0.925569
7.4e-06,-0.924383
7.5e-06,-0.923194
7.6e-06,-0.922003
7.7e-06,-0.92081
7.8e-06,-0.919614
7.9e-06,-0.918415
8e-06,-0.917215
8.1e-06,-0.916011
8.2e-06,-0.914806
8.3e-06,-0.913598
8.4e-06,-0.912387
8.5e-06,-0.911175
8.6e-06,-0.909959
8.7e-06,-0.908742
8.8e-06,-0.907522
8.9e-06,-0.9063
9e-06,-0.905075
9.1e-06,-0.903848
9.2e-06,-0.902619
9.3e-06,-0.901387
9.4e-06,-0.900153
9.5e-06,-0.898917
9.6e-06,-0.897679
9.7e-06,-0.896438
9.8e-06,-0.895195
9.9e-06,-0.893949
1e-05,-0.892702
1.01e-05,-0.891452
1.02e-05,-0.8902
1.03e-05,-0.888945
1.04e-05,-0.887689
1.05e-05,-0.88643
1.06e-05,-0.885169
1.07e-05,-0.883906
1.08e-05,-0.88264
1.09e-05,-0.881373
1.1e-05,-0.880103
1.11e-05,-0.878831
1.12e-05,-0.877557
1.13e-05,-0.87628
1.14e-05,-0.875002
1.15e-05,-0.873721
1.16e-05,-0.872438
1.17e-05,-0.871153
1.18e-05,-0.869866
1.19e-05,-0.868577
1.2e-05,-0.867286
1.21e-05,-0.865993
1.22e-05,-0.864697
1.23e-05,-0.8634
1.24e-05,-0.8621
1.25e-05,-0.860798
1.26e-05,-0.859495
1.27e-05,-0.858189
1.28e-05,-0.856881
1.29e-05,-0.855571
1.3e-05,-0.854259
1.31e-05,-0.852946
1.32e-05,-0.85163
1.33e-05,-0.850312
1.34e-05,-0.848992
1.35e-05,-0.84767
1.36e-05,-0.846346
1.37e-05,-0.84502
1.38e-05,-0.843692
1.39e-05,-0.842363
1.4e-05,-0.841031
1.41e-05,-0.839697
1.42e-05,-0.838362
1.43e-05,-0.837024
1.44e-05,-0.835685
1.45e-05,-0.834343
1.46e-05,-0.833
1.47e-05,-0.831655
1.48e-05,-0.830308
1.49e-05,-0.828959
1.5e-05,-0.827608
1.51e-05,-0.826256
1.52e-05,-0.824901
1.53e-05,-0.823545
1.54e-05,-0.822187
1.55e-05,-0.820827
1.56e-05,-0.819465
1.57e-05,-0.818101
1.58e-05,-0.816736
1.59e-05,-0.815369
1.6e-05,-0.814
1.61e-05,-0.812629
1.62e-05,-0.811256
1.63e-05,-0.809882
1.64e-05,-0.808506
1.65e-05,-0.807128
1.66e-05,-0.805749
1.67e-05,-0.804367
1.68e-05,-0.802984
1.69e-05,-0.801599
1.7e-05,-0.800213
1.71e-05,-0.798825
1.72e-05,-0.797435
1.73e-05,-0.796043
1.74e-05,-0.79465
1.75e-05,-0.793255
1.76e-05,-0.791859
1.77e-05,-0.79046
1.78e-05,-0.789061
1.79e-05,-0.787659
1.8e-05,-0.786256
1.81e-05,-0.784851
1.82e-05,-0.783445
1.83e-05,-0.782037
1.84e-05,-0.780627
1.85e-05,-0.779216
1.86e-05,-0.777803
1.87e-05,-0.776389
1.88e-05,-0.774973
1.89e-05,-0.773555
1.9e-05,-0.772136
1.91e-05,-0.770716
1.92e-05,-0.769294
1.93e-05,-0.76787
1.94e-05,-0.766445
1.95e-05,-0.765018
1.96e-05,-0.76359
1.97e-05,-0.76216
1.98e-05,-0.760729
1.99e-05,-0.759296
2e-05,-0.757862
2.01e-05,-0.756427
2.02e-05,-0.754989
2.03e-05,-0.753551
2.04e-05,-0.752111
2.05e-05,-0.75067
2.06e-05,-0.749227
2.07e-05,-0.747782
2.08e-05,-0.746337
2.09e-05,-0.74489
2.1e-05,-0.743441
2.11e-05,-0.741991
2.12e-05,-0.74054
2.13e-05,-0.739087
2.14e-05,-0.737634
2.15e-05,-0.736178
2.16e-05,-0.734721
2.17e-05,-0.733263
2.18e-05,-0.731804
2.19e-05,-0.730343
2.2e-05,-0.728881
2.21e-05,-0.727418
2.22e-05,-0.725953
2.23e-05,-0.724487
2.24e-05,-0.72302
2.25e-05,-0.721552
2.26e-05,-0.720082
2.27e-05,-0.718611
2.28e-05,-0.717138
2.29e-05,-0.715665
2.3e-05,-0.71419
2.31e-05,-0.712714
2.32e-05,-0.711237
2.33e-05,-0.709758
2.34e-05,-0.708278
2.35e-05,-0.706798
2.36e-05,-0.705315
2.37e-05,-0.703832
2.38e-05,-0.702348
2.39e-05,-0.700862
2.4e-05,-0.699375
2.41e-05,-0.697887
2.42e-05,-0.696398
2.43e-05,-0.694908
2.44e-05,-0.693416
2.45e-05,-0.691924
2.46e-05,-0.69043
2.47e-05,-0.688935
2.48e-05,-0.687439
2.49e-05,-0.685942
2.5e-05,-0.684444
2.51e-05,-0.682945
2.52e-05,-0.681445
2.53e-05,-0.679944
2.54e-05,-0.678441
2.55e-05,-0.676938
2.56e-05,-0.675433
2.57e-05,-0.673928
2.58e-05,-0.672421
2.59e-05,-0.670914
2.6e-05,-0.669405
2.61e-05,-0.667895
2.62e-05,-0.666385
2.63e-05,-0.664873
2.64e-05,-0.663361
2.65e-05,-0.661847
2.66e-05,-0.660333
2.67e-05,-0.658817
2.68e-05,-0.657301
2.69e-05,-0.655783
2.7e-05,-0.654265
2.71e-05,-0.652746
2.72e-05,-0.651226
2.73e-05,-0.649705
2.74e-05,-0.648183
2.75e-05,-0.64666
