t,v
2.76e-05,-0.645136
2.77e-05,-0.643611
2.78e-05,-0.642086
2.79e-05,-0.640559
2.8e-05,-0.639032
2.81e-05,-0.637504
2.82e-05,-0.635975
2.83e-05,-0.634445
2.84e-05,-0.632914
2.85e-05,-0.631383
2.86e-05,-0.62985
2.87e-05,-0.628317
2.88e-05,-0.626783
2.89e-05,-0.625249
2.9e-05,-0.623713
2.91e-05,-0.622177
2.92e-05,-0.62064
2.93e-05,-0.619102
2.94e-05,-0.617563
2.95e-05,-0.616024
2.96e-05,-0.614484
2.97e-05,-0.612943
2.98e-05,-0.611401
2.99e-05,-0.609859
3e-05,-0.608316
3.01e-05,-0.606772
3.02e-05,-0.605228
3.03e-05,-0.603682
3.04e-05,-0.602137
3.05e-05,-0.60059
3.06e-05,-0.599043
3.07e-05,-0.597495
3.08e-05,-0.595947
3.09e-05,-0.594397
3.1e-05,-0.592848
3.11e-05,-0.591297
3.12e-05,-0.589746
3.13e-05,-0.588194
3.14e-05,-0.586642
3.15e-05,-0.585089
3.16e-05,-0.583536
3.17e-05,-0.581981
3.18e-05,-0.580427
3.19e-05,-0.578871
3.2e-05,-0.577316
3.21e-05,-0.575759
3.22e-05,-0.574202
3.23e-05,-0.572645
3.24e-05,-0.571087
3.25e-05,-0.569528
3.26e-05,-0.567969
3.27e-05,-0.566409
3.28e-05,-0.564849
3.29e-05,-0.563288
3.3e-05,-0.561727
3.31e-05,-0.560166
3.32e-05,-0.558603
3.33e-05,-0.557041
3.34e-05,-0.555478
3.35e-05,-0.553914
3.36e-05,-0.55235
3.37e-05,-0.550786
3.38e-05,-0.549221
3.39e-05,-0.547655
3.4e-05,-0.54609
3.41e-05,-0.544523
3.42e-05,-0.542957
3.43e-05,-0.54139
3.44e-05,-0.539822
3.45e-05,-0.538255
3.46e-05,-0.536686
3.47e-05,-0.535118
3.48e-05,-0.533549
3.49e-05,-0.53198
3.5e-05,-0.53041
3.51e-05,-0.52884
3.52e-05,-0.52727
3.53e-05,-0.525699
3.54e-05,-0.524128
3.55e-05,-0.522556
3.56e-05,-0.520985
3.57e-05,-0.519413
3.58e-05,-0.517841
3.59e-05,-0.516268
3.6e-05,-0.514695
3.61e-05,-0.513122
3.62e-05,-0.511549
3.63e-05,-0.509975
3.64e-05,-0.508401
3.65e-05,-0.506827
3.66e-05,-0.505252
3.67e-05,-0.503678
3.68e-05,-0.502103
3.69e-05,-0.500528
3.7e-05,-0.498952
3.71e-05,-0.497377
3.72e-05,-0.495801
3.73e-05,-0.494225
3.74e-05,-0.492649
3.75e-05,-0.491072
3.76e-05,-0.489496
3.77e-05,-0.487919
3.78e-05,-0.486342
3.79e-05,-0.484765
3.8e-05,-0.483188
3.81e-05,-0.481611
3.82e-05,-0.480033
3.83e-05,-0.478456
3.84e-05,-0.476878
3.85e-05,-0.4753
3.86e-05,-0.473722
3.87e-05,-0.472144
3.88e-05,-0.470566
3.89e-05,-0.468988
3.9e-05,-0.46741
3.91e-05,-0.465831
3.92e-05,-0.464253
3.93e-05,-0.462674
3.94e-05,-0.461096
3.95e-05,-0.459517
3.96e-05,-0.457939
3.97e-05,-0.45636
3.98e-05,-0.454781
3.99e-05,-0.453202
4e-05,-0.451624
4.01e-05,-0.450045
4.02e-05,-0.448466
4.03e-05,-0.446887
4.04e-05,-0.445309
4.05e-05,-0.44373
4.06e-05,-0.442151
4.07e-05,-0.440573
4.08e-05,-0.438994
4.09e-05,-0.437415
4.1e-05,-0.435837
4.11e-05,-0.434258
4.12e-05,-0.43268
4.13e-05,-0.431102
4.14e-05,-0.429523
4.15e-05,-0.427945
4.16e-05,-0.426367
4.17e-05,-0.424789
4.18e-05,-0.423211
4.19e-05,-0.421633
4.2e-05,-0.420056
4.21e-05,-0.418478
4.22e-05,-0.416901
4.23e-05,-0.415323
4.24e-05,-0.413746
4.25e-05,-0.412169
4.26e-05,-0.410592
4.27e-05,-0.409016
4.28e-05,-0.407439
4.29e-05,-0.405863
4.3e-05,-0.404287
4.31e-05,-0.402711
4.32e-05,-0.401135
4.33e-05,-0.399559
4.34e-05,-0.397984
4.35e-05,-0.396409
4.36e-05,-0.394834
4.37e-05,-0.393259
4.38e-05,-0.391685
4.39e-05,-0.39011
4.4e-05,-0.388536
4.41e-05,-0.386963
4.42e-05,-0.385389
4.43e-05,-0.383816
4.44e-05,-0.382243
4.45e-05,-0.38067
4.46e-05,-0.379098
4.47e-05,-0.377526
4.48e-05,-0.375954
4.49e-05,-0.374382
4.5e-05,-0.372811
4.51e-05,-0.37124
4.52e-05,-0.369669
4.53e-05,-0.368099
4.54e-05,-0.366529
4.55e-05,-0.36496
4.56e-05,-0.36339
4.57e-05,-0.361822
4.58e-05,-0.360253
4.59e-05,-0.358685
4.6e-05,-0.357117
4.61e-05,-0.35555
4.62e-05,-0.353983
4.63e-05,-0.352416
4.64e-05,-0.35085
4.65e-05,-0.349284
4.66e-05,-0.347718
4.67e-05,-0.346153
4.68e-05,-0.344589
4.69e-05,-0.343024
4.7e-05,-0.34146
4.71e-05,-0.339897
4.72e-05,-0.338334
4.73e-05,-0.336772
4.74e-05,-0.33521
4.75e-05,-0.333648
4.76e-05,-0.332087
4.77e-05,-0.330527
4.78e-05,-0.328966
4.79e-05,-0.327407
4.8e-05,-0.325848
4.81e-05,-0.324289
4.82e-05,-0.322731
4.83e-05,-0.321173
4.84e-05,-0.319616
4.85e-05,-0.318059
4.86e-05,-0.316503
4.87e-05,-0.314948
4.88e-05,-0.313393
4.89e-05,-0.311838
4.9e-05,-0.310284
4.91e-05,-0.308731
4.92e-05,-0.307178
4.93e-05,-0.305626
4.94e-05,-0.304074
4.95e-05,-0.302523
4.96e-05,-0.300972
4.97e-05,-0.299423
4.98e-05,-0.297873
4.99e-05,-0.296324
5e-05,-0.294776
5.01e-05,-0.293229
5.02e-05,-0.291682
5.03e-05,-0.290136
5.04e-05,-0.28859
5.05e-05,-0.287045
5.06e-05,-0.285501
5.07e-05,-0.283957
5.08e-05,-0.282414
5.09e-05,-0.280872
5.1e-05,-0.27933
5.11e-05,-0.277789
5.12e-05,-0.276248
5.13e-05,-0.274709
5.14e-05,-0.27317
5.15e-05,-0.271631
5.16e-05,-0.270094
5.17e-05,-0.268557
5.18e-05,-0.267021
5.19e-05,-0.265485
5.2e-05,-0.26395
5.21e-05,-0.262416
5.22e-05,-0.260883
5.23e-05,-0.25935
5.24e-05,-0.257819
5.25e-05,-0.256287
5.26e-05,-0.254757
5.27e-05,-0.253228
5.28e-05,-0.251699
5.29e-05,-0.250171
5.3e-05,-0.248643
5.31e-05,-0.247117
5.32e-05,-0.245591
5.33e-05,-0.244066
5.34e-05,-0.242542
5.35e-05,-0.241019
5.36e-05,-0.239497
5.37e-05,-0.237975
5.38e-05,-0.236454
5.39e-05,-0.234934
5.4e-05,-0.233415
5.41e-05,-0.231896
5.42e-05,-0.230379
5.43e-05,-0.228862
5.44e-05,-0.227346
5.45e-05,-0.225831
5.46e-05,-0.224317
5.47e-05,-0.222804
5.48e-05,-0.221292
5.49e-05,-0.21978
5.5e-05,-0.21827
5.51e-05,-0.21676
5.52e-05,-0.215251
5.53e-05,-0.213743
5.54e-05,-0.212236
5.55e-05,-0.21073
5.56e-05,-0.209225
5.57e-05,-0.207721
5.58e-05,-0.206218
5.59e-05,-0.204715
5.6e-05,-0.203214
5.61e-05,-0.201713
5.62e-05,-0.200214
5.63e-05,-0.198715
5.64e-05,-0.197217
5.65e-05,-0.195721
5.66e-05,-0.194225
5.67e-05,-0.19273
5.68e-05,-0.191236
5.69e-05,-0.189744
5.7e-05,-0.188252
5.71e-05,-0.186761
5.72e-05,-0.185271
5.73e-05,-0.183782
5.74e-05,-0.182295
5.75e-05,-0.180808
5.76e-05,-0.179322
5.77e-05,-0.177837
5.78e-05,-0.176354
5.79e-05,-0.174871
5.8e-05,-0.173389
5.81e-05,-0.171909
5.82e-05,-0.170429
5.83e-05,-0.168951
5.84e-05,-0.167473
5.85e-05,-0.165997
5.86e-05,-0.164521
5.87e-05,-0.163047
5.88e-05,-0.161574
5.89e-05,-0.160102
5.9e-05,-0.158631
5.91e-05,-0.157161
5.92e-05,-0.155692
5.93e-05,-0.154225
5.94e-05,-0.152758
5.95e-05,-0.151293
5.96e-05,-0.149828
5.97e-05,-0.148365
5.98e-05,-0.146903
5.99e-05,-0.145442
6e-05,-0.143982
6.01e-05,-0.142523
6.02e-05,-0.141066
6.03e-05,-0.139609
6.04e-05,-0.138154
6.05e-05,-0.1367
6.06e-05,-0.135247
6.07e-05,-0.133795
6.08e-05,-0.132345
6.09e-05,-0.130895
6.1e-05,-0.129447
6.11e-05,-0.128
6.12e-05,-0.126554
6.13e-05,-0.12511
6.14e-05,-0.123666
6.15e-05,-0.122224
6.16e-05,-0.120783
6.17e-05,-0.119343
6.18e-05,-0.117905
6.19e-05,-0.116467
6.2e-05,-0.115031
6.21e-05,-0.113596
6.22e-05,-0.112162
6.23e-05,-0.11073
6.24e-05,-0.109299
6.25e-05,-0.107869
6.26e-05,-0.10644
6.27e-05,-0.105013
6.28e-05,-0.103587
6.29e-05,-0.102162
6.3e-05,-0.100738
6.31e-05,-0.099316
6.32e-05,-0.097895
6.33e-05,-0.0964753
6.34e-05,-0.0950568
6.35e-05,-0.0936397
6.36e-05,-0.0922239
6.37e-05,-0.0908093
6.38e-05,-0.0893961
6.39e-05,-0.0879842
6.4e-05,-0.0865736
6.41e-05,-0.0851643
6.42e-05,-0.0837564
6.43e-05,-0.0823498
6.44e-05,-0.0809445
6.45e-05,-0.0795406
6.46e-05,-0.078138
6.47e-05,-0.0767367
6.48e-05,-0.0753368
6.49e-05,-0.0739383
6.5e-05,-0.0725411
6.51e-05,-0.0711453
6.52e-05,-0.0697509
6.53e-05,-0.0683578
6.54e-05,-0.0669662
6.55e-05,-0.0655759
6.56e-05,-0.064187
6.57e-05,-0.0627994
6.58e-05,-0.0614133
6.59e-05,-0.0600286
6.6e-05,-0.0586453
6.61e-05,-0.0572634
6.62e-05,-0.0558829
6.63e-05,-0.0545038
6.64e-05,-0.0531261
6.65e-05,-0.0517499
6.66e-05,-0.0503751
6.67e-05,-0.0490017
6.68e-05,-0.0476298
6.69e-05,-0.0462593
6.7e-05,-0.0448902
6.71e-05,-0.0435226
6.72e-05,-0.0421564
6.73e-05,-0.0407917
6.74e-05,-0.0394285
6.75e-05,-0.0380667
6.76e-05,-0.0367064
6.77e-05,-0.0353476
6.78e-05,-0.0339902
6.79e-05,-0.0326344
6.8e-05,-0.03128
6.81e-05,-0.0299271
6.82e-05,-0.0285757
6.83e-05,-0.0272258
6.84e-05,-0.0258773
6.85e-05,-0.0245304
6.86e-05,-0.023185
6.87e-05,-0.0218411
6.88e-05,-0.0204988
6.89e-05,-0.0191579
6.9e-05,-0.0178186
6.91e-05,-0.0164808
6.92e-05,-0.0151445
6.93e-05,-0.0138097
6.94e-05,-0.0124765
6.95e-05,-0.0111449
6.96e-05,-0.00981475
6.97e-05,-0.00848619
6.98e-05,-0.00715917
6.99e-05,-0.00583371
7e-05,-0.00450982
7.01e-05,-0.00318748
7.02e-05,-0.00186672
7.03e-05,-0.000547522
7.04e-05,0.000770096
7.05e-05,0.00208614
7.06e-05,0.00340059
7.07e-05,0.00471347
7.08e-05,0.00602475
7.09e-05,0.00733444
7.1e-05,0.00864253
7.11e-05,0.00994902
7.12e-05,0.0112539
7.13e-05,0.0125572
7.14e-05,0.0138589
7.15e-05,0.0151589
7.16e-05,0.0164573
7.17e-05,0.0177542
7.18e-05,0.0190493
7.19e-05,0.0203429
7.2e-05,0.0216348
7.21e-05,0.0229251
7.22e-05,0.0242138
7.23e-05,0.0255008
7.24e-05,0.0267861
7.25e-05,0.0280699
7.26e-05,0.0293519
7.27e-05,0.0306323
7.28e-05,0.0319111
7.29e-05,0.0331881
7.3e-05,0.0344636
7.31e-05,0.0357373
7.32e-05,0.0370094
7.33e-05,0.0382798
7.34e-05,0.0395485
7.35e-05,0.0408155
7.36e-05,0.0420809
7.37e-05,0.0433445
7.38e-05,0.0446065
7.39e-05,0.0458667
7.4e-05,0.0471253
7.41e-05,0.0483822
7.42e-05,0.0496373
7.43e-05,0.0508908
7.44e-05,0.0521425
7.45e-05,0.0533925
7.46e-05,0.0546408
7.47e-05,0.0558874
7.48e-05,0.0571323
7.49e-05,0.0583754
7.5e-05,0.0596168
7.51e-05,0.0608564
7.52e-05,0.0620944
7.53e-05,0.0633305
7.54e-05,0.064565
7.55e-05,0.0657977
7.56e-05,0.0670286
7.57e-05,0.0682578
7.58e-05,0.0694852
7.59e-05,0.0707109
7.6e-05,0.0719348
7.61e-05,0.0731569
7.62e-05,0.0743773
7.63e-05,0.0755959
7.64e-05,0.0768127
7.65e-05,0.0780278
7.66e-05,0.079241
7.67e-05,0.0804525
7.68e-05,0.0816622
7.69e-05,0.0828701
7.7e-05,0.0840762
7.71e-05,0.0852805
7.72e-05,0.0864831
7.73e-05,0.0876838
7.74e-05,0.0888827
7.75e-05,0.0900798
7.76e-05,0.0912751
7.77e-05,0.0924686
7.78e-05,0.0936602
7.79e-05,0.0948501
7.8e-05,0.0960381
7.81e-05,0.0972243
7.82e-05,0.0984087
7.83e-05,0.0995913
7.84e-05,0.100772
7.85e-05,0.101951
7.86e-05,0.103128
7.87e-05,0.104303
7.88e-05,0.105476
7.89e-05,0.106648
7.9e-05,0.107818
7.91e-05,0.108985
7.92e-05,0.110151
7.93e-05,0.111316
7.94e-05,0.112478
7.95e-05,0.113638
7.96e-05,0.114797
7.97e-05,0.115953
7.98e-05,0.117108
7.99e-05,0.118261
8e-05,0.119412
8.01e-05,0.120561
8.02e-05,0.121708
8.03e-05,0.122854
8.04e-05,0.123997
8.05e-05,0.125139
8.06e-05,0.126279
8.07e-05,0.127416
8.08e-05,0.128552
8.09e-05,0.129686
8.1e-05,0.130819
8.11e-05,0.131949
8.12e-05,0.133077
8.13e-05,0.134204
8.14e-05,0.135328
8.15e-05,0.136451
8.16e-05,0.137571
8.17e-05,0.13869
8.18e-05,0.139807
8.19e-05,0.140922
8.2e-05,0.142035
8.21e-05,0.143146
8.22e-05,0.144255
8.23e-05,0.145362
8.24e-05,0.146468
8.25e-05,0.147571
8.26e-05,0.148672
8.27e-05,0.149772
8.28e-05,0.150869
8.29e-05,0.151965
8.3e-05,0.153058
8.31e-05,0.15415
8.32e-05,0.15524
8.33e-05,0.156328
8.34e-05,0.157413
8.35e-05,0.158497
8.36e-05,0.159579
8.37e-05,0.160659
8.38e-05,0.161737
8.39e-05,0.162813
8.4e-05,0.163887
8.41e-05,0.164959
8.42e-05,0.166029
8.43e-05,0.167097
8.44e-05,0.168163
8.45e-05,0.169227
8.46e-05,0.170289
8.47e-05,0.17135
8.48e-05,0.172408
8.49e-05,0.173464
8.5e-05,0.174518
8.51e-05,0.17557
8.52e-05,0.176621
8.53e-05,0.177669
8.54e-05,0.178715
8.55e-05,0.179759
8.56e-05,0.180801
8.57e-05,0.181842
8.58e-05,0.18288
8.59e-05,0.183916
8.6e-05,0.18495
8.61e-05,0.185982
8.62e-05,0.187012
8.63e-05,0.18804
8.64e-05,0.189067
8.65e-05,0.190091
8.66e-05,0.191113
8.67e-05,0.192133
8.68e-05,0.193151
8.69e-05,0.194167
8.7e-05,0.195181
8.71e-05,0.196192
8.72e-05,0.197202
8.73e-05,0.19821
8.74e-05,0.199216
8.75e-05,0.20022
8.76e-05,0.201221
8.77e-05,0.202221
8.78e-05,0.203219
8.79e-05,0.204214
8.8e-05,0.205208
8.81e-05,0.206199
8.82e-05,0.207189
8.83e-05,0.208176
8.84e-05,0.209162
8.85e-05,0.210145
8.86e-05,0.211126
8.87e-05,0.212105
8.88e-05,0.213082
8.89e-05,0.214057
8.9e-05,0.21503
8.91e-05,0.216001
8.92e-05,0.21697
8.93e-05,0.217937
8.94e-05,0.218901
8.95e-05,0.219864
8.96e-05,0.220825
8.97e-05,0.221783
8.98e-05,0.222739
8.99e-05,0.223694
9e-05,0.224646
9.01e-05,0.225596
9.02e-05,0.226544
9.03e-05,0.22749
9.04e-05,0.228434
9.05e-05,0.229376
9.06e-05,0.230316
9.07e-05,0.231253
9.08e-05,0.232189
9.09e-05,0.233122
9.1e-05,0.234053
9.11e-05,0.234983
9.12e-05,0.23591
9.13e-05,0.236835
9.14e-05,0.237758
9.15e-05,0.238679
9.16e-05,0.239597
9.17e-05,0.240514
9.18e-05,0.241429
9.19e-05,0.242341
9.2e-05,0.243251
9.21e-05,0.244159
9.22e-05,0.245066
9.23e-05,0.24597
9.24e-05,0.246871
9.25e-05,0.247771
9.26e-05,0.248669
9.27e-05,0.249564
9.28e-05,0.250458
9.29e-05,0.251349
9.3e-05,0.252238
9.31e-05,0.253125
9.32e-05,0.25401
9.33e-05,0.254893
9.34e-05,0.255773
9.35e-05,0.256652
9.36e-05,0.257528
9.37e-05,0.258403
9.38e-05,0.259275
9.39e-05,0.260145
9.4e-05,0.261013
9.41e-05,0.261878
9.42e-05,0.262742
9.43e-05,0.263603
9.44e-05,0.264463
9.45e-05,0.26532
9.46e-05,0.266175
9.47e-05,0.267028
9.48e-05,0.267879
9.49e-05,0.268727
9.5e-05,0.269574
9.51e-05,0.270418
9.52e-05,0.27126
9.53e-05,0.2721
9.54e-05,0.272938
9.55e-05,0.273774
9.56e-05,0.274608
9.57e-05,0.275439
9.58e-05,0.276268
9.59e-05,0.277096
9.6e-05,0.277921
9.61e-05,0.278743
9.62e-05,0.279564
9.63e-05,0.280383
9.64e-05,0.281199
9.65e-05,0.282013
9.66e-05,0.282825
9.67e-05,0.283635
9.68e-05,0.284443
9.69e-05,0.285248
9.7e-05,0.286052
9.71e-05,0.286853
9.72e-05,0.287652
9.73e-05,0.288449
9.74e-05,0.289244
9.75e-05,0.290037
9.76e-05,0.290827
9.77e-05,0.291615
9.78e-05,0.292401
9.79e-05,0.293185
9.8e-05,0.293967
9.81e-05,0.294747
9.82e-05,0.295524
9.83e-05,0.296299
9.84e-05,0.297072
9.85e-05,0.297843
9.86e-05,0.298612
9.87e-05,0.299379
9.88e-05,0.300143
9.89e-05,0.300905
9.9e-05,0.301665
9.91e-05,0.302423
9.92e-05,0.303179
9.93e-05,0.303932
9.94e-05,0.304684
9.95e-05,0.305433
9.96e-05,0.30618
9.97e-05,0.306925
9.98e-05,0.307667
9.99e-05,0.308408
0.0001,0.309146
0.0001001,0.309882
0.0001002,0.310616
0.0001003,0.311348
0.0001004,0.312077
0.0001005,0.312804
0.0001006,0.31353
0.0001007,0.314253
0.0001008,0.314973
0.0001009,0.315692
0.000101,0.316408
0.0001011,0.317123
0.0001012,0.317835
0.0001013,0.318545
0.0001014,0.319252
0.0001015,0.319958
0.0001016,0.320661
0.0001017,0.321362
0.0001018,0.322061
0.0001019,0.322758
0.000102,0.323452
0.0001021,0.324145
0.0001022,0.324835
0.0001023,0.325523
0.0001024,0.326209
0.0001025,0.326892
0.0001026,0.327574
0.0001027,0.328253
0.0001028,0.32893
0.0001029,0.329605
0.000103,0.330277
0.0001031,0.330948
0.0001032,0.331616
0.0001033,0.332282
0.0001034,0.332946
0.0001035,0.333608
0.0001036,0.334267
0.0001037,0.334925
0.0001038,0.33558
0.0001039,0.336233
0.000104,0.336883
0.0001041,0.337532
0.0001042,0.338178
0.0001043,0.338822
0.0001044,0.339464
0.0001045,0.340104
0.0001046,0.340742
0.0001047,0.341377
0.0001048,0.34201
0.0001049,0.342641
0.000105,0.34327
0.0001051,0.343897
0.0001052,0.344521
0.0001053,0.345143
0.0001054,0.345763
0.0001055,0.346381
0.0001056,0.346997
0.0001057,0.34761
0.0001058,0.348221
0.0001059,0.34883
0.000106,0.349437
0.0001061,0.350042
0.0001062,0.350644
0.0001063,0.351245
0.0001064,0.351843
0.0001065,0.352439
0.0001066,0.353032
0.0001067,0.353624
0.0001068,0.354213
0.0001069,0.3548
0.000107,0.355385
0.0001071,0.355968
0.0001072,0.356548
0.0001073,0.357127
0.0001074,0.357703
0.0001075,0.358277
0.0001076,0.358849
0.0001077,0.359418
0.0001078,0.359986
0.0001079,0.360551
0.000108,0.361114
0.0001081,0.361675
0.0001082,0.362233
0.0001083,0.36279
0.0001084,0.363344
0.0001085,0.363896
0.0001086,0.364446
0.0001087,0.364994
0.0001088,0.365539
0.0001089,0.366083
0.000109,0.366624
0.0001091,0.367163
0.0001092,0.367699
0.0001093,0.368234
0.0001094,0.368766
0.0001095,0.369297
0.0001096,0.369825
0.0001097,0.37035
0.0001098,0.370874
0.0001099,0.371395
0.00011,0.371915
0.0001101,0.372432
0.0001102,0.372947
0.0001103,0.373459
0.0001104,0.37397
0.0001105,0.374478
0.0001106,0.374985
0.0001107,0.375489
0.0001108,0.37599
0.0001109,0.37649
0.000111,0.376988
